name,M_Msun,a_star,lambda_Edd,sigma_kms,Re_kpc,t_g_s,r_s_km,f_ISCO_Schw_Hz,fISCO_tg_invariant,Class,Spin_Known,Regime,r_ISCO_rg,f_ISCO_Kerr_Hz,f_ratio,Name,Mass_Msun,Spin_a,Grav_Time_tg_s,Schwarzschild_Rad_km,Orbital_Period_s,Invariant_fISCO_tg,rinfl_pc,rinfl_over_Re,t_fb_days,tde_possible
Mrk 421,190000000.0,0.8,0.0,,,935.8715798525974,561134482.5927069,1.1571162617270877e-05,0.010829122239356611,Blazar,Yes,Active Jet,2.9066438544641957,2.9547490199486197e-05,2.553545497267857,Mrk 421,190000000.0,0.8,935.8715798525974,561134482.5927069,33843.822038644386,0.010829122239356611,,,565.1459988356991,False
Perseus A,340000000.0,0.5,0.0,,,1674.7175639467532,1004135389.9027387,6.466237933180785e-06,0.010829122239356613,SMBH,Yes,Cluster Core,4.233002529530826,1.0319575351690604e-05,1.5959164290470729,Perseus A,340000000.0,0.5,1674.7175639467532,1004135389.9027387,96903.21218849136,0.010829122239356613,,,756.0026454980167,False
3C 273,886000000.0,0.9,0.0,,,4364.11694604948,2616658692.5112543,2.481400561265764e-06,0.010829122239356613,Quasar,Yes,First Quasar,2.320883041761887,8.221631726139419e-06,3.313302920325592,3C 273,886000000.0,0.9,4364.11694604948,2616658692.5112543,121630.35676003988,0.010829122239356613,,,1220.3958374232518,False
M104 (Sombrero),1000000000.0,0.9,0.0,,,4925.639893961039,2953339382.0668783,2.198520897281467e-06,0.010829122239356613,SMBH,Yes,Disk Galaxy,2.320883041761887,7.284365709359523e-06,3.313302920325591,M104 (Sombrero),1000000000.0,0.9,4925.639893961039,2953339382.0668783,137280.3123702482,0.010829122239356613,,,1296.5338406690355,False
Mrk 501,1000000000.0,0.9,0.0,,,4925.639893961039,2953339382.0668783,2.198520897281467e-06,0.010829122239356613,Blazar,Yes,HE Blazar,2.320883041761887,7.284365709359523e-06,3.313302920325591,Mrk 501,1000000000.0,0.9,4925.639893961039,2953339382.0668783,137280.3123702482,0.010829122239356613,,,1296.5338406690355,False
NGC 3115,1000000000.0,0.9,0.0,,,4925.639893961039,2953339382.0668783,2.198520897281467e-06,0.010829122239356613,SMBH,Yes,Lenticular,2.320883041761887,7.284365709359523e-06,3.313302920325591,NGC 3115,1000000000.0,0.9,4925.639893961039,2953339382.0668783,137280.3123702482,0.010829122239356613,,,1296.5338406690355,False
M84,1500000000.0,0.5,0.0,,,7388.459840941558,4430009073.100317,1.4656805981876446e-06,0.010829122239356611,SMBH,Yes,Virgo Cluster,4.233002529530826,2.3391037463832036e-06,1.595916429047073,M84,1500000000.0,0.5,7388.459840941558,4430009073.100317,427514.1714198148,0.010829122239356611,,,1587.9231719450408,False
Cygnus A,2500000000.0,0.5,0.0,,,12314.099734902597,7383348455.167196,8.794083589125868e-07,0.010829122239356613,SMBH,Yes,Radio Giant,4.233002529530826,1.403462247829922e-06,1.5959164290470726,Cygnus A,2500000000.0,0.5,12314.099734902597,7383348455.167196,712523.6190330249,0.010829122239356613,,,2050.0,False
M87*,6500000000.0,0.9,0.0,,,32016.65931074675,19196705983.434708,3.382339841971488e-07,0.010829122239356613,SMBH,Yes,EHT Target,2.320883041761887,1.1206716475937731e-06,3.3133029203255915,M87*,6500000000.0,0.9,32016.65931074675,19196705983.434708,892322.030406613,0.010829122239356613,,,3305.525676802405,False
NGC 3842,9700000000.0,0.5,0.0,,,47778.70697142208,28647392006.04872,2.2665163889499658e-07,0.010829122239356613,Ultramassive,Yes,Leo Cluster,4.233002529530826,3.617170741829696e-07,1.5959164290470729,NGC 3842,9700000000.0,0.5,47778.70697142208,28647392006.04872,2764591.641848136,0.010829122239356613,,,4038.031698736403,False
